Time (s)	 Pressure (bar)	 Rate (m3/D)
0.0	179.9986631000000	5000.000000
5.0	177.7882040601230	5000.000000
10.0	177.6516877909512	5000.000000
15.0	177.5813613228503	5000.000000
20.0	177.5330980100755	5000.000000
25.0	177.4958662886940	5000.000000
30.0	177.4669082938180	5000.000000
35.0	177.4420871963244	5000.000000
40.0	177.4214028984906	5000.000000
45.0	177.4034766000000	5000.000000
50.0	177.3869291012004	5000.000000
55.0	177.3731396021764	5000.000000
60.0	177.3593501031972	5000.000000
65.0	177.3469396037472	5000.000000
70.0	177.3359078967472	5000.000000
75.0	177.3262552976759	5000.000000
80.0	177.3166025985574	5000.000000
85.0	177.3083288993576	5000.000000
90.0	177.3000552000000	5000.000000
95.0	177.2917815006071	5000.000000
100.0	177.2848867010635	5000.000000
105.0	177.2779920017261	5000.000000
110.0	177.2710972019051	5000.000000
115.0	177.2655813980074	5000.000000
120.0	177.2586866984709	5000.000000
125.0	177.2531708991167	5000.000000
130.0	177.2476550996287	5000.000000
135.0	177.2435182000000	5000.000000
140.0	177.2380024003864	5000.000000
145.0	177.2338655007622	5000.000000
150.0	177.2283497012175	5000.000000
155.0	177.2242129012489	5000.000000
160.0	177.2200759986762	5000.000000
165.0	177.2159391989510	5000.000000
170.0	177.2118022994880	5000.000000
175.0	177.2090443997189	5000.000000
180.0	177.2049076000000	5000.000000
185.0	177.2021497002758	5000.000000
190.0	177.1980128005543	5000.000000
195.0	177.1952549008112	5000.000000
200.0	177.1911180011839	5000.000000
205.0	177.1883600991982	5000.000000
210.0	177.1856021993219	5000.000000
215.0	177.1828442995617	5000.000000
220.0	177.1800863997789	5000.000000
225.0	177.1773285000000	5000.000000
230.0	177.1745706002220	5000.000000
235.0	177.1718127004314	5000.000000
240.0	177.1690548007170	5000.000000
245.0	177.1662969006086	5000.000000
250.0	177.1649179994189	5000.000000
255.0	177.1621600992213	5000.000000
260.0	177.1594021997195	5000.000000
265.0	177.1580231998278	5000.000000
270.0	177.1552653000000	5000.000000
275.0	177.1538864001659	5000.000000
280.0	177.1511285003309	5000.000000
285.0	177.1497495004951	5000.000000
290.0	177.1469916006691	5000.000000
295.0	177.1456125993651	5000.000000
300.0	177.1428546994280	5000.000000
305.0	177.1414757998572	5000.000000
310.0	177.1400967998144	5000.000000
315.0	177.1373389000000	5000.000000
320.0	177.1359600000906	5000.000000
325.0	177.1345810002405	5000.000000
330.0	177.1332021002708	5000.000000
335.0	177.1318231007224	5000.000000
340.0	177.1290651992794	5000.000000
345.0	177.1276862997252	5000.000000
350.0	177.1263072997693	5000.000000
355.0	177.1249283998910	5000.000000
360.0	177.1235494000000	5000.000000
365.0	177.1221705001102	5000.000000
370.0	177.1207915002207	5000.000000
375.0	177.1194126003309	5000.000000
380.0	177.1180336004413	5000.000000
385.0	177.1166546995588	5000.000000
390.0	177.1152756996688	5000.000000
395.0	177.1138967997801	5000.000000
400.0	177.1125177998883	5000.000000
405.0	177.1111389000000	5000.000000
410.0	177.1097599001290	5000.000000
415.0	177.1083810000810	5000.000000
420.0	177.1083810001201	5000.000000
425.0	177.1070020005216	5000.000000
430.0	177.1056230995990	5000.000000
435.0	177.1042440996085	5000.000000
440.0	177.1028651999207	5000.000000
445.0	177.1028651999582	5000.000000
450.0	177.1014862000000	5000.000000
455.0	177.1001073001241	5000.000000
460.0	177.0987283000827	5000.000000
465.0	177.0987283001240	5000.000000
470.0	177.0973494004969	5000.000000
475.0	177.0959703995053	5000.000000
480.0	177.0945913998709	5000.000000
485.0	177.0945913999298	5000.000000
490.0	177.0932124998525	5000.000000
495.0	177.0918335000000	5000.000000
500.0	177.0918335000368	5000.000000
505.0	177.0904546002941	5000.000000
510.0	177.0890756001107	5000.000000
515.0	177.0890756001452	5000.000000
520.0	177.0876966994045	5000.000000
525.0	177.0863176999098	5000.000000
530.0	177.0863176998765	5000.000000
535.0	177.0849387999462	5000.000000
540.0	177.0849388000000	5000.000000
545.0	177.0835598000619	5000.000000
550.0	177.0835598000592	5000.000000
555.0	177.0821809004520	5000.000000
560.0	177.0808019001183	5000.000000
565.0	177.0808018997519	5000.000000
570.0	177.0794229998400	5000.000000
575.0	177.0794229998887	5000.000000
580.0	177.0780439999450	5000.000000
585.0	177.0780440000000	5000.000000
590.0	177.0766651000552	5000.000000
595.0	177.0766651001103	5000.000000
600.0	177.0752861001655	5000.000000
605.0	177.0752861002206	5000.000000
610.0	177.0739071997794	5000.000000
615.0	177.0739071998345	5000.000000
620.0	177.0725281998897	5000.000000
625.0	177.0725281999449	5000.000000
630.0	177.0711493000000	5000.000000
635.0	177.0711493000547	5000.000000
640.0	177.0697703001140	5000.000000
645.0	177.0697703001449	5000.000000
650.0	177.0683914003230	5000.000000
655.0	177.0683914001615	5000.000000
660.0	177.0683913997578	5000.000000
665.0	177.0670123999031	5000.000000
670.0	177.0670123999435	5000.000000
675.0	177.0656335000000	5000.000000
680.0	177.0656335000486	5000.000000
685.0	177.0642545001605	5000.000000
690.0	177.0642544998844	5000.000000
695.0	177.0642545002956	5000.000000
700.0	177.0628755997046	5000.000000
705.0	177.0628756001152	5000.000000
710.0	177.0628755998405	5000.000000
715.0	177.0614965999497	5000.000000
720.0	177.0614966000000	5000.000000
725.0	177.0601177000798	5000.000000
730.0	177.0601176999231	5000.000000
735.0	177.0601177002220	5000.000000
740.0	177.0587387002937	5000.000000
745.0	177.0587387001470	5000.000000
750.0	177.0587386997794	5000.000000
755.0	177.0573597998529	5000.000000
760.0	177.0573598000368	5000.000000
765.0	177.0573598000000	5000.000000
770.0	177.0559808000735	5000.000000
775.0	177.0559807999264	5000.000000
780.0	177.0559808002206	5000.000000
785.0	177.0546019002942	5000.000000
790.0	177.0546019001471	5000.000000
795.0	177.0546018997794	5000.000000
800.0	177.0532228998529	5000.000000
805.0	177.0532229000368	5000.000000
810.0	177.0532229000000	5000.000000
815.0	177.0518440000737	5000.000000
820.0	177.0518439999256	5000.000000
825.0	177.0518440002257	5000.000000
830.0	177.0504650002692	5000.000000
835.0	177.0504650000539	5000.000000
840.0	177.0504650000404	5000.000000
845.0	177.0504649998655	5000.000000
850.0	177.0490860999247	5000.000000
855.0	177.0490861000000	5000.000000
860.0	177.0490861000754	5000.000000
865.0	177.0477071001345	5000.000000
870.0	177.0477070999596	5000.000000
875.0	177.0477070999462	5000.000000
880.0	177.0477070997309	5000.000000
885.0	177.0463280997740	5000.000000
890.0	177.0463281000754	5000.000000
895.0	177.0463280999247	5000.000000
900.0	177.0449492000000	5000.000000
905.0	177.0449491999867	5000.000000
910.0	177.0449491999722	5000.000000
915.0	177.0449492002069	5000.000000
920.0	177.0435702002758	5000.000000
925.0	177.0435702000552	5000.000000
930.0	177.0435702000414	5000.000000
935.0	177.0435701998621	5000.000000
940.0	177.0421912999311	5000.000000
945.0	177.0421913000000	5000.000000
950.0	177.0421912999863	5000.000000
955.0	177.0421913001370	5000.000000
960.0	177.0408123002120	5000.000000
965.0	177.0408122999193	5000.000000
970.0	177.0408122999596	5000.000000
975.0	177.0408123000606	5000.000000
980.0	177.0408122998587	5000.000000
985.0	177.0394333999315	5000.000000
990.0	177.0394334000000	5000.000000
995.0	177.0394333999863	5000.000000
1000.0	177.0394334001370	5000.000000
1005.0	177.0380544002120	5000.000000
1010.0	177.0380543999193	5000.000000
1015.0	177.0380543999597	5000.000000
1020.0	177.0380544000602	5000.000000
1025.0	177.0380543998596	5000.000000
1030.0	177.0366754999298	5000.000000
1035.0	177.0366755000000	5000.000000
1040.0	177.0366755000100	5000.000000
1045.0	177.0366754999599	5000.000000
1050.0	177.0366755002106	5000.000000
1055.0	177.0352965002808	5000.000000
1060.0	177.0352965000802	5000.000000
1065.0	177.0352964999699	5000.000000
